States,Transaction_amount
Andaman & Nicobar,71300100.0
Andhra Pradesh,34473000000.0
Arunachal Pradesh,231933000.0
Assam,4424040000.0
Bihar,15431600000.0
Chandigarh,731348000.0
Chhattisgarh,5442870000.0
Dadra and Nagar Haveli and Daman and Diu,326296000.0
Delhi,22482900000.0
Goa,646403000.0
Gujarat,20042100000.0
Haryana,14765400000.0
Himachal Pradesh,1429960000.0
Jammu & Kashmir,1253750000.0
Jharkhand,5765900000.0
Karnataka,43891300000.0
Kerala,6373570000.0
Ladakh,56204000.0
Lakshadweep,2322580.0
Madhya Pradesh,25437800000.0
Maharashtra,64507900000.0
Manipur,469036000.0
Meghalaya,192027000.0
Mizoram,76541100.0
Nagaland,175942000.0
Odisha,12133200000.0
Puducherry,460523000.0
Punjab,6317910000.0
Rajasthan,35542900000.0
Sikkim,139136000.0
Tamil Nadu,20705100000.0
Telangana,50470400000.0
Tripura,262348000.0
Uttar Pradesh,31683800000.0
Uttarakhand,2745990000.0
West Bengal,18435400000.0
